firma_adi;adres;telefon;website;domain;birlik
Hİ FOOD GIDA TEKNOLOJİLERİ SANAYİ PAZARLAMA LİMİTED ŞİRKETİ;MALTEPE MAH/SEMT DAVUTPAŞA CAD. N:22 D:66 ZEYTİNBURNU İSTANBUL;(212) 5676821;;;ÇİB - Çelik İhracatçıları Birliği
EFOR OTOMATİK KAPI İNŞAAT ELEKTRİK ELEKTRONİK VE OTO SANAYİ TİCARET LİMİTED ŞİRKETİ;FERHATPAŞA MAH. 15. SOK. NO:8 MALTEPE İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
BEYOĞLU ÇELİK KAPI SAN. VE TİC. LTD. ŞTİ;İOSB MAHALLESİ KERESTECİLER SİTESİ 18. BLOK NO: 38 PK:34480 BAŞAKŞEHİR İSTANBUL;(212) 6702670;www.brangobgs.com;brangobgs.com;ÇİB - Çelik İhracatçıları Birliği
IRMAK METAL SAN. VE TİC. LTD. ŞTİ.;NECİP FAZIL MAH. KINALI TAŞ SOK. NO:11/A ÜMRANİYE İSTANBUL;(216) 3139123;;;ÇİB - Çelik İhracatçıları Birliği
PERATEK TEKNİK TIBBİ SİS. SAN. VE TİC. A.Ş.;İOSB GİYİM SANATKARLARI KOOP DEPOSİTE İS MERKEZİ A5/A6 BLOK 3 KAT NO:301 BAŞAKŞEHİR İSTANBUL;(212) 6603536;www.perateknik.com;perateknik.com;ÇİB - Çelik İhracatçıları Birliği
FENİKS ENDÜSTRİYEL SOĞUK DEPO SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;ŞEKER PINAR MH BAŞAK SK NO:12 ÇAYIROVA KOCAELİ;(262) 6580663;;;ÇİB - Çelik İhracatçıları Birliği
DALGIÇ GLOBAL IÇ VE DIS TICARET ANONIM SIRKETI;ORHANLI MAH DEMOKRASİ CAD IŞIKDAĞI PLAZA NO 26/10 TUZLA İSTANBUL;(216) 3943636;www.dalgickalip.com.tr;dalgickalip.com.tr;ÇİB - Çelik İhracatçıları Birliği
BURGMANN PACKINGS ENDUSTRIYEL SIZDIRMAZLIK SAN.VETIC.LTD.STI;BİRLİK ORG.SAN.BOLGESI BATI CAD.NO.6 AYDINLI TUZLA İSTANBUL;(216) 5931115;www.burgmannpackings.com.tr;burgmannpackings.com.tr;ÇİB - Çelik İhracatçıları Birliği
ONART YAPI SISTEMLERI INSAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;BEYLİKDÜZÜ O.S.B MAH BAKIRCILAR SAN. SİT.KARANFİL CADDESİ N:21 K:2 BEYLİKDÜZÜ İSTANBUL;(212) 8750710;;;ÇİB - Çelik İhracatçıları Birliği
ANJ DIŞ TİCARET ANONİM ŞİRKETİ;MASLAK MAH.TAŞYONCASI SOK.MASLAK 1453 1N T2 BLOK 1 N/115 SARIYER İSTANBUL;(212) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
ATLAS BORU PROFİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İKİTELLİ OSB MAH METAL İŞ 6. BLOK SOK N0:33 BAŞAKŞEHİR İSTANBUL;(212) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
BURSA TEK ENERJİ SAN.TİC.A.Ş;ALAADDİNBEY MAHALLESİ İZMİR YOLU CAD NO:329 16110 NİLÜFER, BURSA, TÜRKİYE NİLÜFER BURSA;(224) 2740016;http://www.bursatekenerji.com;bursatekenerji.com;ÇİB - Çelik İhracatçıları Birliği
ESCO ELEKTRİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;DUDULLU OSB MAH. DES-115 SK. DES T03 BLOK 24 /26 1 KADIKÖY İSTANBUL;(216) 4718166;;;ÇİB - Çelik İhracatçıları Birliği
EXPERT METAL SANAYİ VE TİCARET LTD.ŞTİ.;NOSAB SÖĞÜT CAD.NO:2 NİLÜFER BURSA NİLÜFER BURSA;(224) 4110118;www.expertmetal.com.tr;expertmetal.com.tr;ÇİB - Çelik İhracatçıları Birliği
DORUKSAFE YÜKSEK GÜVENLİKLİ KAPI SİS.SAN.TİC.LTD.ŞTİ.;YUKARI DUDULLU MH.NECİP FAZIL BLV.KERESTECİLER(KEYAP) SİT. A1 BL.NO:44/4 ÜMRANİYE İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
MAYDIN YAPI İNŞAAT ALÜMİNYUM SANAYİ VE TİCARET LİMİTED ŞİRKETİ;OSMAN YILMAZ MAH 626/1 SK BAHAR APT NO:2/1 GEBZE KOCAELİ;(262) 6446278;www.maydinyapi.com.tr;maydinyapi.com.tr;ÇİB - Çelik İhracatçıları Birliği
FF GRUP İNŞAAT SANAYİ VE TİCARET A.Ş.;VEYSEL KARANİ MH ÇOLAKOĞLU SK RİNGS REZİDANCE NO:10/3/68 SANCAKTEPE İSTANBUL;(216) 5043143;www.ffgroup.az;ffgroup.az;ÇİB - Çelik İhracatçıları Birliği
GOLD ÇİVİ TEL SANAYİ TİCARET LİMİTED ŞİRKETİ;KORDONBOYU MAH. ANKARA CAD. IST MARINA B BLOK NO 147 B İÇ KAPI NO: 385 KARTAL İSTANBUL;(216) 0000000;http://www.goldcivitel.com;goldcivitel.com;ÇİB - Çelik İhracatçıları Birliği
