firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
MEDICAVET TARIM HAYVANCILIK İLAÇ VE KİMYA SANAYİTİCARET ANONİM ŞİRKETİ;M.KÖY İŞM. ŞEHİT AHMET S. NO:4K:4 D:73;İSTANBUL;ŞİŞLİ;(212) 2730505;www.medicavet.com;medicavet.com;İİB-SU ÜRÜNLERİ
NAMET GIDA SANAYİ VE TİCARET A.Ş.;AKSE MAH. FEVZİ ÇAKMAK CAD. NO:132 ÇAYIROVA KOCAELİ ;KOCAELI;ÇAYIROVA;(262) 6582222;www.namet.com.tr;namet.com.tr;İİB-SU ÜRÜNLERİ
PECOM GLOBAL DIŞ TİCARET LİMİTED ŞİRKETİ;ÇOBANÇESME MAH. SANAYI CAD. NISH RESIDENCE A BLOK NO: 44 A IÇ KAPI NO: 024;İSTANBUL;BAHÇELİEVLER;(212) 6209090;http://www.pecomglobal.com;pecomglobal.com;İİB-SU ÜRÜNLERİ
BALARISI GIDA SAN VE  TİC.A.Ş;1.ORGANİZE SAN.BÖL.248 ADA 3.PARSEL 5.CAD.NO:3;DÜZCE;DÜZCE;(380) 5537100;www.balarisi.com.tr;balarisi.com.tr;İİB-SU ÜRÜNLERİ
ALPUKA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YASAMKENT MAH. 3035 CAD. ALPUKA INS. NO: 69;ANKARA;ÇANKAYA;(312) 2174217;www.alpuka.com.tr;alpuka.com.tr;İİB-SU ÜRÜNLERİ
ALBERO DIŞ TİC. AŞ;LEVENT MAH.ÇALIKUŞU SOKAK NUMARA:21 (1.LEVENT);İSTANBUL;BEŞİKTAŞ;(212) 2828282;www.albero.com.tr;albero.com.tr;İİB-SU ÜRÜNLERİ
AKUA GROUP SU ÜRÜNLERI A.Ş;ESENTEPE MAH. BÜYÜKDERE CAD. NO:201/14;İSTANBUL;ŞİŞLİ;(266) 7338351;www.akua-group.com;akua-group.com;İİB-SU ÜRÜNLERİ
BLACK SEA KIYAK KARDEŞLER SU ÜRÜN TİC LTD ŞTİ;TOYBELEN MH ANADOLU BLV NO 206/A;SAMSUN;İLKADIM;(362) 0000000;www.kiyakkardesler.com.tr;kiyakkardesler.com.tr;İİB-SU ÜRÜNLERİ
PAK TAVUK GIDA SAN. VE TIC.A.S;VEYSEL KARANİ MAH.OSMANGAZİ CAD.NO:219;İSTANBUL;SANCAKTEPE;(212) 6036104;www.mudurnupilic.com.tr;mudurnupilic.com.tr;İİB-SU ÜRÜNLERİ
DANET  ET  VE  ET  ÜRÜNLERİ  PAZ. VE  TİC. LTD.ŞTİ;KOCATEPE  MAH. YAĞ İSKELESİ CAD.MEGA CENTER  C 25 BLOK NO:37;İSTANBUL;BAYRAMPAŞA;(212) 4441339;www.danet.com.tr;danet.com.tr;İİB-SU ÜRÜNLERİ
KARAKAŞLAR TAVUKÇULUK VE YEM SAN. TIC. LTD. ŞTI.;RUNGUÇ.PAŞA.MAH.PANAYIR.CAT.NO.13;BURSA; ;(224) 6761187;www.karakaslar.com.tr;karakaslar.com.tr;İİB-SU ÜRÜNLERİ
ORALLAR ZIRAİ ÜRÜNLER ÜRETİM PAZARLAMA SANAYİ VE TİCARET A.Ş;ŞERİFALİ MAH. BARBAROS CAD. MİRAS SOK NO:29  ;İSTANBUL;ÜMRANİYE;(216) 5266321;www.orallarzirai.com;orallarzirai.com;İİB-SU ÜRÜNLERİ
GRAND GENERAL DIŞ TİCARET LİMİTED ŞİRKETİ;BAŞAK MAH. YEŞİL VADİ CAD. METROKENT A2 BLOK NO:3KİÇ KAPI NO:81;İSTANBUL;BAŞAKŞEHİR;(212) 0000000;http://www.grandhyper.com;grandhyper.com;İİB-SU ÜRÜNLERİ
HM BAL GIDA İTH İHR SAN TİC LTD ŞTİ;BATTALGAZİ MAH. İBNİ SİNA SOK AYTOP SİTESİ C BLOK  NO:8/19 ;İSTANBUL;SULTANBEYLİ;;www.hmbal.com;hmbal.com;İİB-SU ÜRÜNLERİ
ARYANTR GRUP DIŞ TİC.LTD.ŞTİ.;ESENTEPE MAH. BÜYÜKDERE CAD. TEKFEN TAWORNO:209/8;İSTANBUL;ŞİŞLİ;(212) 3718458;www.aryantr.com;aryantr.com;İİB-SU ÜRÜNLERİ
