firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
SİRİUS EVCİL HAYVAN ÜRÜNLERİ VE SANAYİ TİCARET LİMİTED ŞİRKETİ;YENİORMAN MAH. 15001 SK. NO:5;SAKARYA;AKYAZI;(264) 0000000;;;İİB-SU ÜRÜNLERİ
CARREFOURSA CARREFOUR SABANCI TİC. MERKEZİ AŞ;KISIKLI TRAMVAY CD.HALUKTÜRKSOY SOK.NO:14;İSTANBUL; ;(216) 5311600;;;İİB-SU ÜRÜNLERİ
ŞENPILIÇ GIDA SAN. A.Ş.;BARBAROS MAH. HALK CAD. KARDELEN SOK NO:2/68 YENİSAHRA 34746;İSTANBUL;ATAŞEHİR;(216) 9877700;www.senpilic.com.tr;senpilic.com.tr;İİB-SU ÜRÜNLERİ
ATAK EVCİL HAYVAN MAMALARI SAN VE TİC.A.Ş;İNÖNÜ MAH. GEBZE PLASTİKÇILER O.S.B.MAH. 3 CADDE NO:11;KOCAELI;GEBZE;(262) 4012990;www.atakpetfood.com;atakpetfood.com;İİB-SU ÜRÜNLERİ
ALARİ DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ;RUMELİHİSARI MAH. ARPACI ÇEŞME SK. NO:12/9;İSTANBUL;SARIYER;(212) 0000000;;;İİB-SU ÜRÜNLERİ
MERKO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;LEVENT MAH. CÖMERT SOK. YAPIKREDİPLAZA SİTESİ B BLOK NO:1-B/23;İSTANBUL; ;;www.merko.com.tr;merko.com.tr;İİB-SU ÜRÜNLERİ
SARIHANLAR ET ÜRÜNLERİ SAN VE TİC.LTD.ŞTİ;KOCATEPE MAH. MEGA CENTER C15 BLOK GÜMRÜK İSKELESİCAD. NO:32/A;İSTANBUL;BAYRAMPAŞA;(212) 5370520;;;İİB-SU ÜRÜNLERİ
İSTANBUL PETEK ARICILIK EVİ SAN. VE TİC LTD.ŞTİ;SEYRANTEPE MAH.İ.KARAOĞLANOĞLUCAD.NO.73;İSTANBUL;KAĞITHANE;(212) 2811443;www.temelpetek.com.tr;temelpetek.com.tr;İİB-SU ÜRÜNLERİ
AKTİF BESİN A.Ş;İKİTELLİ OSB MAH.MİLAS CAD. NO:1/10;İSTANBUL;BAŞAKŞEHİR;(216) 5142417;https://takehiq.com/;takehiq.com;İİB-SU ÜRÜNLERİ
NESTLE TÜRKİYE GIDA SAN. AŞ;*TOROS BİNASI;İSTANBUL; ;(212) 2812200;;;İİB-SU ÜRÜNLERİ
BUPİLİÇ ENTEGRE GIDA SAN. TIC. A.Ş.;BALIKESIR ASFALTI 10.KM;BALIKESIR;BANDIRMA;(266) 7338725;www.bupilic.com.tr;bupilic.com.tr;İİB-SU ÜRÜNLERİ
POLEN DAĞITIM A.Ş;KAVAKLI MAH KAVAKLI CAD. NO:21 İÇ KAPI NO:6 ;İSTANBUL;BEYLİKDÜZÜ;(212) 6715547;;;İİB-SU ÜRÜNLERİ
