firma_adi;adres;telefon;website;domain;birlik
ALGORİTMA SAĞLIK HİZMETLERİ A.Ş.;ŞERİFALİ MAH.TÜRKER CAD. N:15 ÜMRANİYE İSTANBUL;(212) 5406003;www.algogoritmamedikal.com;algogoritmamedikal.com;ÇİB - Çelik İhracatçıları Birliği
AVRUPA MOZAİK VE YAPI MALZEMELERİ SANAYİ VE TİCARET LTD.ŞTİ.;İKİTELLİ ORGANİZE SANAYİ BÖLGESİ MAH.MARMARA SANYİ SİTESİ M BLOK NO:3 KÜÇÜKÇEKMECE İSTANBUL;(212) 5425761;www.orientmosaic.com;orientmosaic.com;ÇİB - Çelik İhracatçıları Birliği
HASTEL ÇİT SİSTEMLERİ İNŞAAT ANONİM ŞİRKETİ;ŞEMSETTİN MAH. ŞEMSETTİN MERKEZ MEVKII KÜME EVLER GÜBRE ÜRETİM YAPISI-1 NO:112/2 KÖRFEZ KOCAELİ;(850) 3080088;http://www.ozhastel.com.tr;ozhastel.com.tr;ÇİB - Çelik İhracatçıları Birliği
METAYARD METALÜRJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;SULTANÇİFTLİĞİ MAH. HÜRRİYET CAD. CEMAL GÜNGÖR APTNO: 5/1 ÇEKMEKÖY/İSTANBUL ÇEKMEKÖY İSTANBUL;(216) 6067509;https://www.metayard.com.tr;metayard.com.tr;ÇİB - Çelik İhracatçıları Birliği
EMEK OZEL CIVATA SANAYI VE TICARET LTD.STI.;ORG. SAN. BÖLG. 7.CAD.NO:6 Merkez ESKİŞEHİR;02222360739;www.petekkagit.com;petekkagit.com;ÇİB - Çelik İhracatçıları Birliği
ÖNERLER MAKİNA ÇELİK ISIL İŞLEM SANAYİ VE TİC. LTD. ŞTİ.;BEŞEVLER SAN. SİT. 26. BLOK NO:6-15 NİLÜFER BURSA;(224) 4419713;https://www.onerler.com.tr;onerler.com.tr;ÇİB - Çelik İhracatçıları Birliği
ELCAB KABLO PROFİL SANAYİ TİCARET ANONİM ŞİRKETİ;TEKSTİLKEN CADDESİ KOZA PLAZA B BLOK KAT 31 ORUÇREİS MAHALLESİ ESENLER İSTANBUL;(212) 6852094;www.elcabkablo.com;elcabkablo.com;ÇİB - Çelik İhracatçıları Birliği
KEY ALÜMİNYUM YAPI SİSTEMLERİ DIŞ TİCARET LİMİTED ŞİRKETİ;ÜNİVERSİTE MH.CİVAN SK. NO:1 ALLURE TOWER 24 KAT D:43 AVCILAR İSTANBUL;(850) 5950101;www.keysystems.com.tr;keysystems.com.tr;ÇİB - Çelik İhracatçıları Birliği
MEYADOOR OTOMATİK GEÇİŞ SİSTEMLERİ SAN. TİC. LTD.ŞTİ.;ESENKENT MAH. BARURALP SOK. NO.25/2 ÜMRANİYE İSTANBUL;(216) 3133200;www.meyadoor.com;meyadoor.com;ÇİB - Çelik İhracatçıları Birliği
BEDE YAPIM VE PROJE LİMİTED ŞİRKETİ;SERDAR MAH. SELAHATTİN EYYUBI CAD. NO:20 D:18 BAŞİSKELE KOCAELİ;(262) 6061926;http://www.bedeyapim.com;bedeyapim.com;ÇİB - Çelik İhracatçıları Birliği
